Date,VIX,SMB,HML,MKT,MOM,STR,RVAR,BAB,QMJ,TERM_SPREAD,CREDIT_SPREAD,10Y,3M,OIL,DOLLAR,TED,SKEW,LEVERAGE,TSMOM,MOMCM,MOMEQ,MOMFI,MOMFX,HMLD,ECU,MACVOL,BULL,NEUT,BEAR,BULL_BEAR_SPREAD,BULL_BEAR_RATIO,MOV_AVG_BULL,SP500
2013-03-29,12.7,0.72,-0.15,3.71,2.0,-1.86,2.04,2.3507796224699997,-0.43468399006999997,1.8,2.96,1.76,0.07,5.627376425855513,0.0075843761850658,0.21,122.93,-0.26087,1.2698301308100002,0.25043935778,1.87957738578,4.48706322775,-0.634034619383,-0.273411693159,90.71,0.644028486749513,38.455,28.4125,33.129999999999995,5.325,1.1833050762360782,38.6275,1569.19
2013-04-30,13.52,-2.84,-0.02,1.27,1.58,-1.19,0.5500000000000003,1.6810033372500002,-0.978205954996,1.65,2.83,1.93,0.05,-3.877404093386827,-1.0052869926978958,0.22,119.05,-0.28014,6.0768852314199995,6.397489757869999,10.3929690928,6.872889306519999,1.33627553448,-0.0626872949213,81.56,0.6929017645967106,27.485,30.0925,42.4225,-14.9375,0.7249659663379826,32.97,1597.57
2013-05-31,16.3,1.41,1.12,2.53,0.08,1.64,3.87,-1.50795002178,0.194119054689,2.12,2.79,2.3,0.04,-1.594264926171618,2.444346921064078,0.24,119.51,-0.3699,-2.22436693411,2.96480405951,4.132201927120001,-19.4699254908,1.3125528691500001,1.28600855841,66.84,0.7264189643345489,39.041999999999994,32.178,28.784000000000002,10.258,1.4287842109481597,33.707499999999996,1630.74
2013-06-28,16.86,0.88,0.52,-1.52,0.98,0.5,-0.29,2.09401413947,1.34249180166,2.48,2.83,2.58,0.04,4.990757855822547,0.7447044898063693,0.23,116.53,-0.50651,0.531472007195,3.67585886396,-11.3314812944,10.2234481078,-7.3597275057400005,0.0534765858316,116.34,0.7258951445186773,32.542500000000004,32.7875,34.667500000000004,-2.1250000000000018,0.9551844352386141,36.798750000000005,1606.28
2013-07-31,13.45,1.75,-0.24,5.69,1.19,1.94,2.45,1.7919974690999998,-1.06674225664,2.56,2.68,2.74,0.04,8.77174813587407,-0.7787522785184575,0.23,117.85,-0.61156,3.40220804376,2.4095883494700003,13.3914842232,-2.0062347419399997,3.7546366489599996,0.660876495321,77.62,0.7090725547369957,45.9475,32.565,21.4875,24.46,2.170557669635133,39.245,1685.73
2013-08-30,17.01,0.48,-2.13,-2.53,-0.81,-0.81,4.409999999999999,-0.36568261865900004,0.874868787977,2.75,2.56,2.81,0.03,2.4945253737027606,1.2651450299934863,0.23,117.48,-0.57973,-0.778663641207,-2.81907441189,-2.75617225122,4.7356337601,-1.18853282708,-0.879886052762,91.16,0.6948396690491161,34.426,34.892,30.686,3.7399999999999975,1.1796916955630838,39.241249999999994,1632.97
2013-09-30,16.6,2.06,-1.42,3.82,3.28,-0.46,6.789999999999999,0.783098302026,-0.8324257072860001,2.62,2.75,2.62,0.02,-4.941941477008827,-1.9349030807110146,0.23,123.46,-0.44526,-1.44524043972,-2.13117215138,10.9697611073,-7.3573771356,-2.97981342278,-1.39762014997,156.8,0.6474473309006323,40.5525,30.41,29.035,11.517500000000002,1.421361760494408,37.339999999999996,1681.55
2013-10-31,13.75,-1.77,0.65,4.09,0.15,-0.14,-5.3500000000000005,2.93014648426,1.5447236545199998,2.53,2.65,2.72,0.04,-5.814521645656212,-0.2041525731080407,0.2,132.33,-0.3087,2.45396213583,-0.422770893528,13.4185853112,0.28690463899100005,2.3316064345800003,0.757653828493,67.75,0.6421492917982745,43.924,30.554000000000002,25.524,18.4,1.848027029719073,43.2875,1756.54
2013-11-29,13.7,0.93,-0.53,2.79,2.02,0.67,-0.3199999999999998,1.9445860719,1.5414377109800002,2.69,2.61,2.9,0.06,-3.797468354430378,0.968500285772822,0.18,130.82,-0.21599,3.6383011865699997,2.70579598635,2.68105069258,3.4162255323399995,6.46183141623,-0.527094980564,95.19,0.6513517096772323,41.5925,31.6525,26.752499999999998,14.840000000000002,1.588295786156229,43.51875,1805.81
2013-12-31,13.72,-0.54,-0.08,2.64,0.32,1.35,1.44,0.265979021847,-1.4594610615199999,2.97,2.33,2.86,0.07,6.14754098360657,-0.07636514716043985,0.18,133.63,-0.16989,1.9369517585599998,0.62866380386,3.9668917058199997,-0.445201633772,5.61173888254,-0.52010951823,130.03,0.5648163882419914,46.6075,29.35,24.0425,22.565,2.015167733205756,44.1,1848.36
